TRADEDATE,BOARDID,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
2016-02-20,CETS,USDRUB_TOM,USD000UTSTOM,76.87,76.515,77.282,77.05,18802,49148123751.0,76.889
2016-02-20,CNGD,USDRUB_TOM,USD000UTSTOM,77.149,76.74,77.25,76.74,7,141950903.68,
2016-02-22,CETS,USDRUB_TOM,USD000UTSTOM,76.35600000000001,74.95100000000001,76.692,75.3,37317,125745844839.0,75.7346
2016-02-22,CNGD,USDRUB_TOM,USD000UTSTOM,0.0,0.0,0.0,0.0,0,0.0,
2016-02-24,CETS,USDRUB_TOM,USD000UTSTOM,76.49600000000001,75.69,77.58,75.711,86375,449589587720.0,76.8479
2016-02-24,CNGD,USDRUB_TOM,USD000UTSTOM,76.66,75.3675,77.27,75.3675,37,4937057726.48,
2016-02-25,CETS,USDRUB_TOM,USD000UTSTOM,75.946,75.18,76.687,75.385,72872,355540699401.0,76.0919
2016-02-25,CNGD,USDRUB_TOM,USD000UTSTOM,75.92,75.6,76.65,76.35,24,2907640311.0,
2016-02-26,CETS,USDRUB_TOM,USD000UTSTOM,75.385,74.476,76.421,76.2,95775,520903973192.0,75.1691
2016-02-26,CNGD,USDRUB_TOM,USD000UTSTOM,75.491,74.7015,76.03699999999999,76.03699999999999,34,5864857335.0,
2016-02-29,CETS,USDRUB_TOM,USD000UTSTOM,75.548,74.858,76.296,75.2,53840,275976513315.0,75.7749
2016-02-29,CNGD,USDRUB_TOM,USD000UTSTOM,75.46,75.46,76.25,76.25,18,4072378380.0,
2016-03-01,CETS,USDRUB_TOM,USD000UTSTOM,74.587,73.167,74.804,73.392,73669,399931901615.0,73.8916
2016-03-01,CNGD,USDRUB_TOM,USD000UTSTOM,74.85,73.7,74.85,74.0,21,2950761273.08,
2016-03-02,CETS,USDRUB_TOM,USD000UTSTOM,73.288,73.01,74.26,73.07,59945,300523563167.0,73.7378
2016-03-02,CNGD,USDRUB_TOM,USD000UTSTOM,73.392,73.22,74.12,73.84,16,2079966438.65,
2016-03-03,CETS,USDRUB_TOM,USD000UTSTOM,73.069,72.88,74.1,73.171,58141,296227859422.0,73.6363
2016-03-03,CNGD,USDRUB_TOM,USD000UTSTOM,73.07,73.07,74.085,73.995,16,3110062820.0,
2016-03-04,CETS,USDRUB_TOM,USD000UTSTOM,73.03,71.75,73.445,71.97,58703,290767836679.0,72.8472
2016-03-04,CNGD,USDRUB_TOM,USD000UTSTOM,73.171,72.58,73.32,72.58,24,2772558280.04,
2016-03-07,CETS,USDRUB_TOM,USD000UTSTOM,71.696,71.12,72.26,71.471,39831,129662365311.0,71.7818
2016-03-07,CNGD,USDRUB_TOM,USD000UTSTOM,0.0,0.0,0.0,0.0,0,0.0,
2016-03-09,CETS,USDRUB_TOM,USD000UTSTOM,72.398,70.75,72.667,71.141,61041,309663902143.0,71.8475
2016-03-09,CNGD,USDRUB_TOM,USD000UTSTOM,71.471,71.15,72.627,71.15,34,18906825122.38,
2016-03-10,CETS,USDRUB_TOM,USD000UTSTOM,71.1,69.945,71.89699999999999,71.455,79852,417318837239.0,70.8216
2016-03-10,CNGD,USDRUB_TOM,USD000UTSTOM,71.141,70.253,71.2985,70.5,18,2288450755.0,
2016-03-11,CETS,USDRUB_TOM,USD000UTSTOM,70.847,69.435,71.03399999999999,69.883,61852,333247970941.0,69.9887
2016-03-11,CNGD,USDRUB_TOM,USD000UTSTOM,70.83,69.551,71.455,69.79,35,6737806940.0,
2016-03-14,CETS,USDRUB_TOM,USD000UTSTOM,70.0,69.681,70.977,69.96,64681,304093211837.0,70.4092
2016-03-14,CNGD,USDRUB_TOM,USD000UTSTOM,69.883,69.883,70.93,70.45,18,2528406929.0,
2016-03-15,CETS,USDRUB_TOM,USD000UTSTOM,70.35,70.086,71.399,71.04,69581,401317350609.0,70.9006
2016-03-15,CNGD,USDRUB_TOM,USD000UTSTOM,70.393,69.96,71.316,71.28,33,24978167188.0,
2016-03-16,CETS,USDRUB_TOM,USD000UTSTOM,70.925,69.123,71.44,69.123,81204,378988649677.0,70.6476
2016-03-16,CNGD,USDRUB_TOM,USD000UTSTOM,71.04,70.5,71.4,71.38,31,8075254543.0,
2016-03-17,CETS,USDRUB_TOM,USD000UTSTOM,69.324,67.906,69.324,68.1,74204,388174545004.0,68.4004
2016-03-17,CNGD,USDRUB_TOM,USD000UTSTOM,69.2,68.1227,70.4213,68.227,27,5457395667.93,
2016-03-18,CETS,USDRUB_TOM,USD000UTSTOM,68.0,67.262,68.729,68.389,75980,346119109790.0,68.0288
2016-03-18,CNGD,USDRUB_TOM,USD000UTSTOM,68.1,67.41,68.67,67.65,27,7506335319.9,
2016-03-21,CETS,USDRUB_TOM,USD000UTSTOM,68.41,67.48100000000001,69.15,67.822,61647,275132575376.0,68.2436
2016-03-21,CNGD,USDRUB_TOM,USD000UTSTOM,68.85,67.5,69.07,67.5,18,2734847224.0,
2016-03-22,CETS,USDRUB_TOM,USD000UTSTOM,67.936,67.2,68.266,67.5,69436,327724850407.0,67.7658
2016-03-22,CNGD,USDRUB_TOM,USD000UTSTOM,67.822,67.53,68.2,68.2,15,3713504974.0,
2016-03-23,CETS,USDRUB_TOM,USD000UTSTOM,67.876,67.417,68.83,68.737,63909,311158301200.0,67.8973
2016-03-23,CNGD,USDRUB_TOM,USD000UTSTOM,67.5,67.5,68.45,68.45,22,4398232000.0,
2016-03-24,CETS,USDRUB_TOM,USD000UTSTOM,68.95,68.256,69.665,68.527,82033,396018851198.0,69.1757
2016-03-24,CNGD,USDRUB_TOM,USD000UTSTOM,68.66,68.66,69.5,69.0,20,2050541518.0,
2016-03-25,CETS,USDRUB_TOM,USD000UTSTOM,68.791,67.827,68.791,68.454,30333,134677397034.0,68.2033
2016-03-25,CNGD,USDRUB_TOM,USD000UTSTOM,68.527,68.0,69.227,68.51,16,1499679169.0,
2016-03-28,CETS,USDRUB_TOM,USD000UTSTOM,68.087,67.585,68.648,68.47,42902,191308018339.0,68.0503
2016-03-28,CNGD,USDRUB_TOM,USD000UTSTOM,68.454,67.63,68.454,68.3,27,4341456301.41,
2016-03-29,CETS,USDRUB_TOM,USD000UTSTOM,68.82600000000001,67.921,69.244,68.05,69647,339782101847.0,68.7183
2016-03-29,CNGD,USDRUB_TOM,USD000UTSTOM,68.47,68.47,69.04,68.75,16,2032574610.0,
2016-03-30,CETS,USDRUB_TOM,USD000UTSTOM,68.051,67.123,68.36,68.24,71638,326558092543.0,67.59
2016-03-30,CNGD,USDRUB_TOM,USD000UTSTOM,68.44,67.3,68.44,67.57,32,5525492280.26,
2016-03-31,CETS,USDRUB_TOM,USD000UTSTOM,67.89,66.703,68.04,67.025,72018,352890217440.0,67.298
2016-03-31,CNGD,USDRUB_TOM,USD000UTSTOM,68.31,66.74,68.31,66.95,18,3288042900.0,
2016-04-01,CETS,USDRUB_TOM,USD000UTSTOM,67.062,66.815,68.359,67.595,74930,341316024401.0,67.6962
2016-04-01,CNGD,USDRUB_TOM,USD000UTSTOM,67.2,67.025,68.0,67.52,18,3709915525.0,
2016-04-04,CETS,USDRUB_TOM,USD000UTSTOM,68.25,67.741,68.91,68.7,67113,300371749395.0,68.3347
2016-04-04,CNGD,USDRUB_TOM,USD000UTSTOM,68.065,67.595,68.905,68.34,23,6634193195.0,
2016-04-05,CETS,USDRUB_TOM,USD000UTSTOM,68.747,68.55,69.488,68.562,70185,357484572751.0,69.0296
2016-04-05,CNGD,USDRUB_TOM,USD000UTSTOM,68.7,68.62,69.4,69.4,20,4791970100.0,
2016-04-06,CETS,USDRUB_TOM,USD000UTSTOM,68.512,67.54,68.87,67.59,61602,267299330125.0,68.4661
2016-04-06,CNGD,USDRUB_TOM,USD000UTSTOM,68.562,68.32,68.83,68.83,22,3427242282.0,
2016-04-07,CETS,USDRUB_TOM,USD000UTSTOM,68.199,67.45100000000001,68.42699999999999,68.028,61031,304111237619.0,67.9539
2016-04-07,CNGD,USDRUB_TOM,USD000UTSTOM,67.48,67.48,68.195,68.01,26,23861752441.6,
2016-04-08,CETS,USDRUB_TOM,USD000UTSTOM,67.851,66.921,67.936,67.15,57081,262540368868.0,67.2776
2016-04-08,CNGD,USDRUB_TOM,USD000UTSTOM,67.825,67.11,68.028,67.55,14,2707898908.0,
2016-04-11,CETS,USDRUB_TOM,USD000UTSTOM,67.05199999999999,66.41,67.368,66.773,52035,242717335945.0,66.7999
2016-04-11,CNGD,USDRUB_TOM,USD000UTSTOM,67.0,66.5,67.355,66.74,21,4013740900.1,
2016-04-12,CETS,USDRUB_TOM,USD000UTSTOM,66.785,65.184,66.785,65.715,64989,317061352585.0,66.1366
2016-04-12,CNGD,USDRUB_TOM,USD000UTSTOM,66.6,65.9,66.773,66.314,34,8007811568.48,
2016-04-13,CETS,USDRUB_TOM,USD000UTSTOM,65.827,65.23,66.35,66.31,70203,389861214314.0,65.73899999999999
2016-04-13,CNGD,USDRUB_TOM,USD000UTSTOM,65.65,65.27,66.185,65.49,43,7898924126.5,
2016-04-14,CETS,USDRUB_TOM,USD000UTSTOM,66.07300000000001,65.771,66.646,66.11,53494,303927782000.0,66.2243
2016-04-14,CNGD,USDRUB_TOM,USD000UTSTOM,66.26,65.96,66.64,66.3,36,6612953860.0,
2016-04-15,CETS,USDRUB_TOM,USD000UTSTOM,66.2,65.869,66.632,66.447,54249,288247919618.0,66.2705
2016-04-15,CNGD,USDRUB_TOM,USD000UTSTOM,66.11,65.8755,66.563,66.3,49,12346277343.37,
2016-04-18,CETS,USDRUB_TOM,USD000UTSTOM,67.904,66.02,68.8,66.118,89140,415036902193.0,67.503
2016-04-18,CNGD,USDRUB_TOM,USD000UTSTOM,68.0,66.352,68.745,66.352,49,8165637334.0,
2016-04-19,CETS,USDRUB_TOM,USD000UTSTOM,65.935,62.685,66.275,65.85300000000001,61955,306040187642.0,65.6526
2016-04-19,CNGD,USDRUB_TOM,USD000UTSTOM,66.26,65.44,66.34,65.65,31,8785307168.0,
2016-04-20,CETS,USDRUB_TOM,USD000UTSTOM,66.584,65.11,66.584,65.157,64313,305398027684.0,65.8012
2016-04-20,CNGD,USDRUB_TOM,USD000UTSTOM,65.85300000000001,65.5,66.58,65.67,34,7372186907.75,
2016-04-21,CETS,USDRUB_TOM,USD000UTSTOM,65.0,64.65,66.982,66.84,76338,355406221511.0,65.5358
2016-04-21,CNGD,USDRUB_TOM,USD000UTSTOM,65.157,64.77,66.23,66.09,29,3952666256.0,
2016-04-22,CETS,USDRUB_TOM,USD000UTSTOM,65.771,65.527,66.82,66.455,71558,333760629129.0,66.1322
2016-04-22,CNGD,USDRUB_TOM,USD000UTSTOM,65.9525,65.58,66.84,65.58,17,3013145680.0,
2016-04-25,CETS,USDRUB_TOM,USD000UTSTOM,66.273,65.876,66.855,66.567,55431,260125306710.0,66.4061
2016-04-25,CNGD,USDRUB_TOM,USD000UTSTOM,66.455,65.9,66.83,66.7025,32,4101430470.0,
2016-04-26,CETS,USDRUB_TOM,USD000UTSTOM,66.626,65.15,66.774,65.2,48473,223524161307.0,66.2261
2016-04-26,CNGD,USDRUB_TOM,USD000UTSTOM,66.567,65.94,66.705,66.0,25,4891752911.0,
2016-04-27,CETS,USDRUB_TOM,USD000UTSTOM,65.375,64.97,65.997,65.12,61678,294268329845.0,65.3608
2016-04-27,CNGD,USDRUB_TOM,USD000UTSTOM,65.3,65.01,65.89,65.55,28,6686364443.96,
2016-04-28,CETS,USDRUB_TOM,USD000UTSTOM,65.304,64.19,65.4,64.719,54934,279110094124.0,64.811
2016-04-28,CNGD,USDRUB_TOM,USD000UTSTOM,65.2,64.6,65.2,64.82,19,2815775590.0,
2016-04-29,CETS,USDRUB_TOM,USD000UTSTOM,64.373,63.983000000000004,64.889,64.63,55313,247798545535.0,64.3786
2016-04-29,CNGD,USDRUB_TOM,USD000UTSTOM,64.719,64.1,66.23,64.2,21,2283948627.0,
2016-05-04,CETS,USDRUB_TOM,USD000UTSTOM,66.61399999999999,65.725,66.79899999999999,66.529,64465,298330653236.0,66.2047
